approval_status,quantity,request_date,consumable_id,laboratory_id
1,210,2023-12-02 16:43:25,155,35
1,267,2023-11-03 06:41:19,58,27
1,148,2023-12-11 06:14:52,20,35
2,182,2023-08-24 02:55:11,114,26
1,267,2023-06-15 19:11:55,57,40
2,228,2023-09-29 11:46:56,93,35
1,297,2024-01-29 07:23:59,85,34
2,175,2024-01-14 08:29:19,69,21
1,288,2023-03-31 05:00:44,21,32
1,286,2023-12-09 17:19:24,41,37
2,246,2024-01-21 00:19:38,150,40
1,158,2023-08-15 11:20:36,135,27
1,285,2023-12-29 03:54:28,112,39
1,147,2023-03-15 15:37:38,121,35
1,149,2023-03-24 15:32:54,90,32
2,292,2023-10-10 18:16:18,18,28
2,177,2023-04-03 14:02:15,28,29
1,190,2023-10-26 07:52:22,28,23
1,296,2023-07-28 11:51:12,61,24
2,212,2023-09-02 20:08:55,64,37
1,239,2023-06-29 09:07:00,70,38
2,192,2023-12-10 07:42:49,118,28
1,118,2023-09-03 04:44:53,84,32
2,127,2023-10-26 23:26:26,166,30
1,151,2023-04-16 08:07:56,194,34
2,165,2023-03-11 01:32:54,152,37
2,161,2023-04-03 09:42:34,39,23
2,280,2023-05-25 16:21:41,163,37
2,106,2023-09-05 20:01:46,175,21
2,294,2023-12-11 22:50:39,165,24
1,229,2023-11-29 02:59:18,127,22
1,127,2023-08-16 13:11:39,15,39
2,254,2023-04-08 10:45:12,59,34
1,234,2023-04-21 15:12:47,56,40
1,238,2023-03-24 09:56:15,149,23
1,218,2023-04-16 16:00:50,190,33
2,126,2023-09-17 07:15:38,22,31
2,213,2023-08-25 11:46:42,115,27
2,162,2023-04-24 22:33:38,187,31
2,292,2023-03-28 19:17:40,145,34
2,250,2023-09-13 21:33:49,158,35
1,226,2023-06-20 14:58:17,88,24
1,279,2023-07-12 16:11:56,86,31
2,125,2023-12-08 02:17:45,158,24
2,124,2023-03-21 07:59:44,28,39
2,176,2023-06-24 06:46:33,33,38
2,274,2023-10-05 23:49:53,85,33
2,111,2023-06-22 13:05:15,94,40
2,106,2023-03-15 11:07:42,190,22
1,205,2024-01-07 04:59:14,181,32
