approval_status,quantity,request_date,consumable_id,laboratory_id
2,213,2023-12-07 11:55:48,151,28
2,197,2023-05-07 23:03:59,193,40
2,122,2024-01-13 13:21:43,99,26
2,223,2023-06-19 16:36:56,92,26
0,234,2023-07-29 07:27:55,161,31
0,219,2023-10-30 12:03:36,34,24
1,299,2023-10-26 02:11:45,1,37
1,136,2023-06-11 21:51:29,18,23
1,203,2023-12-25 18:27:44,96,32
0,118,2023-07-25 09:58:04,69,37
2,223,2024-01-31 04:50:01,195,32
0,166,2023-09-05 06:58:31,81,25
1,125,2023-05-24 19:42:12,58,36
1,141,2023-06-15 23:33:47,154,40
1,296,2023-11-29 21:59:27,181,39
2,277,2024-01-17 18:32:32,136,28
1,141,2023-11-26 07:14:00,36,21
2,193,2023-08-23 19:39:55,156,37
1,256,2023-08-28 13:46:25,138,40
2,169,2024-01-30 03:52:33,129,30
0,204,2023-05-09 00:18:35,94,29
1,111,2024-01-23 07:35:47,157,31
1,239,2023-09-03 20:53:34,56,21
1,187,2023-07-26 01:54:41,24,28
0,298,2023-05-22 05:22:37,176,34
1,246,2023-12-13 03:12:19,173,35
1,214,2023-10-17 10:53:32,136,33
2,264,2023-12-26 21:23:15,23,21
1,157,2023-06-13 18:15:35,34,32
2,104,2023-05-05 06:11:00,19,34
1,285,2023-06-22 20:08:19,108,27
2,277,2023-06-22 09:26:47,10,28
1,233,2023-05-09 01:07:09,22,34
0,282,2024-01-16 07:15:38,25,34
1,105,2023-09-24 06:16:38,137,30
1,282,2023-08-19 22:37:41,183,24
1,232,2023-12-14 06:13:25,85,23
1,232,2023-08-31 20:41:03,127,26
2,233,2023-12-06 01:11:39,92,33
2,288,2023-12-25 14:03:35,191,22
0,189,2023-11-04 03:04:12,123,27
2,195,2023-09-01 19:47:19,26,22
1,282,2023-06-06 12:10:40,6,28
0,122,2023-08-29 14:20:09,134,31
2,117,2023-03-21 16:45:09,83,25
1,114,2023-04-08 12:34:04,174,37
0,203,2023-06-17 17:44:52,26,28
0,148,2023-04-03 15:07:41,175,38
1,230,2023-12-31 23:55:28,113,28
2,104,2024-01-04 01:18:04,130,25
