code,designation,rubric_budget_id
3257905225,Student ID replacement,14
0393407351,Housing,1
5949929535,Food,2
0310947493,Library fines,14
2181513194,Technology fees,2
1893925780,Late registration fees,4
9883761955,Athletic fees,4
6437852288,Career counseling fees,9
9875377307,Tuition fees,6
0522371814,Tuition fees,3
7355170094,Housing,14
9922834875,Library fines,13
2746747807,Internship expenses,14
4827153220,Athletic fees,8
4459614328,Graduation fees,16
9387804680,Internship expenses,9
2966226864,Technology fees,6
9289626913,Activity fees,13
7078032181,Student ID replacement,15
9527451668,Library fines,8
