acquisition_date,inventory_number,type,supplier_id,laboratory_id
2023-03-31 23:26:57,66275,computer monitor,75,
2023-08-12 10:52:12,96571,office chair,35,24
2018-12-14 08:08:19,95420,whiteboard,67,27
2020-04-29 12:55:06,11607,projector,54,21
2020-03-11 18:00:02,36320,desk,104,
2021-11-26 20:12:35,20104,printer,133,
2018-07-16 15:10:44,26997,bookshelf,58,33
2023-07-14 17:09:32,12508,filing cabinet,79,
2020-04-02 20:19:15,91044,conference table,86,23
2022-11-12 03:06:23,13665,office phone,9,
2018-12-03 00:07:13,55903,laptop stand,24,26
2022-01-13 17:39:17,34828,desk lamp,70,
2023-12-29 19:06:43,21893,wall clock,46,
2021-10-04 19:08:40,64882,file organizer,56,
2020-10-10 05:38:18,86236,cork board,115,
2020-11-22 13:03:38,83754,standing desk,148,
2020-04-03 17:33:06,35098,office plants,82,29
2019-08-08 02:39:57,84797,ergonomic keyboard,103,26
2022-02-26 00:57:32,85049,mouse pad,48,
2020-11-12 19:47:09,59354,power strip,53,39
2023-02-27 08:11:03,64931,headphones,150,28
2018-08-26 04:49:51,39310,webcam,127,
2019-04-25 14:03:53,94009,external hard drive,138,28
2022-01-19 06:10:03,83744,wireless router,120,
2022-08-13 04:52:38,99951,printer paper,13,
2019-12-28 08:40:48,14265,pens,25,23
2023-03-08 06:43:36,28616,notebooks,145,40
2021-10-09 01:33:42,16665,stapler,42,25
2021-01-04 23:00:01,68134,paper clips,63,
2018-06-07 04:45:51,72942,binder clips,65,
2024-02-17 05:19:59,68559,scissors,53,25
2021-05-11 13:03:42,53632,tape dispenser,137,
2022-02-19 02:16:25,57000,calculator,94,
2021-07-20 07:58:39,39713,sticky notes,79,
2024-01-22 16:40:33,94021,pencil holder,24,
2022-02-21 06:29:37,10963,desk organizer,72,
2022-04-26 07:01:56,46952,trash can,26,
2022-10-24 14:01:03,72195,shredder,72,
2018-11-05 02:25:46,27701,dry erase markers,57,23
2018-11-17 17:29:52,22963,highlighters,34,
2020-01-15 05:23:47,41319,USB flash drive,81,
2022-12-06 08:31:41,49475,desk calendar,12,37
2022-02-07 06:32:44,53661,office supplies caddy,130,
2019-09-30 11:59:10,67975,post-it notes,28,36
2022-10-30 02:01:37,81721,letter tray,121,30
2020-07-21 02:24:57,81165,document holder,83,
2023-07-23 06:18:28,64879,label maker,116,
2018-04-08 07:17:07,37286,storage bins,90,26
2020-02-29 04:04:49,55482,computer monitor,63,23
2022-07-09 21:21:13,94331,office chair,50,37
