acquisition_date,inventory_number,type,supplier_id,laboratory_id
2/5/2020,46316.94,computer monitor,91,19
12/19/2022,93251.23,office chair,71,13
6/10/2019,94175.81,whiteboard,142,
4/26/2020,57463.44,projector,120,
3/13/2019,12891.44,desk,54,12
4/7/2022,82927.04,printer,92,10
7/19/2023,54939.62,bookshelf,10,
3/8/2018,44647.5,filing cabinet,26,2
12/16/2020,64362.09,conference table,42,7
9/28/2020,36597.34,office phone,125,11
2/27/2024,16180.07,laptop stand,28,9
3/2/2021,80199.04,desk lamp,45,16
7/12/2022,12861.57,wall clock,17,
5/8/2021,41738.18,file organizer,53,
1/2/2023,76476.68,cork board,150,16
4/28/2021,73962.03,standing desk,138,5
12/9/2023,87193.65,office plants,116,9
1/22/2022,42834.76,ergonomic keyboard,43,7
6/11/2023,72585.05,mouse pad,95,
5/14/2018,48120.21,power strip,34,13
3/8/2018,66460.59,headphones,25,6
7/25/2022,40887.04,webcam,142,10
4/8/2019,30634.66,external hard drive,56,
7/24/2023,39232.35,wireless router,85,
5/14/2023,77160.58,printer paper,53,
11/26/2020,82586.35,pens,114,
3/31/2022,47546.54,notebooks,43,5
1/15/2020,51743.85,stapler,87,17
8/1/2022,22808.78,paper clips,82,
3/4/2020,20429.01,binder clips,34,
3/4/2018,25864.4,scissors,24,10
9/26/2018,38725.85,tape dispenser,113,
11/12/2020,64261.64,calculator,24,
5/14/2023,41256.38,sticky notes,97,
8/10/2019,35957.19,pencil holder,55,15
4/14/2022,99857.89,desk organizer,27,16
12/12/2020,31179.07,trash can,82,
4/8/2022,43810.12,shredder,64,
11/23/2022,61408.52,dry erase markers,132,
9/27/2022,14713.73,highlighters,117,
10/29/2020,68385.07,USB flash drive,35,
11/22/2018,39991.39,desk calendar,65,
12/2/2019,28657.53,office supplies caddy,21,
11/30/2018,42756.46,post-it notes,95,18
11/8/2023,38668.31,letter tray,140,7
7/28/2023,39187.9,document holder,2,
5/9/2021,46341.16,label maker,52,6
7/5/2020,53804.88,storage bins,128,
5/30/2022,90852.33,computer monitor,90,18
4/11/2019,54898.45,office chair,47,17
