acquisition_date,inventory_number,type,supplier_id,laboratory_id
2020-07-06 08:47:35,44666.46,computer monitor,61,
2020-06-25 00:15:02,48968.16,office chair,135,
2022-02-16 17:21:18,83594.14,whiteboard,65,38
2024-02-08 05:47:56,15966.22,projector,134,
2023-03-20 00:20:01,78013.23,desk,77,37
2023-03-27 14:56:16,37080.55,printer,136,38
2021-07-28 06:30:18,98659.51,bookshelf,142,24
2019-06-13 16:23:25,67490.73,filing cabinet,75,
2022-12-08 06:06:09,41052.09,conference table,123,
2023-02-24 16:12:15,39115.05,office phone,47,
2019-12-26 07:19:15,31369.16,laptop stand,22,21
2019-06-13 01:39:24,57606.86,desk lamp,130,40
2020-12-14 20:23:00,54798.44,wall clock,3,23
2019-06-28 12:47:52,82734.35,file organizer,19,22
2023-10-10 18:43:32,16740.71,cork board,23,
2023-01-10 08:19:22,11343.31,standing desk,18,
2024-01-28 03:54:07,25364.16,office plants,3,30
2018-04-16 07:58:42,68259.83,ergonomic keyboard,130,24
2023-04-15 17:12:11,33476.44,mouse pad,1,
2021-05-16 17:41:37,81661.17,power strip,110,
2019-01-05 22:12:18,44088.13,headphones,122,
2021-05-15 07:03:13,15814.08,webcam,32,40
2018-07-18 12:44:05,71245.64,external hard drive,73,
2018-06-25 16:31:18,13674.18,wireless router,7,31
2022-01-09 09:10:35,47072.26,printer paper,77,35
2022-11-02 06:40:58,37268.76,pens,122,21
2020-02-09 03:57:36,47767.25,notebooks,109,26
2021-10-04 07:26:15,40154.8,stapler,131,
2019-02-16 19:12:42,58587.49,paper clips,66,32
2020-08-17 01:09:56,93941.49,binder clips,10,
2022-06-29 23:30:40,36974.52,scissors,142,
2018-10-13 10:30:52,15063.76,tape dispenser,61,
2018-11-25 19:41:57,25190.49,calculator,101,
2023-11-27 12:40:31,44088.68,sticky notes,27,24
2022-01-15 17:42:37,70978.57,pencil holder,56,
2019-07-26 00:09:22,39277.23,desk organizer,12,
2023-07-18 04:08:12,60776.33,trash can,112,38
2023-11-12 05:54:49,48058.58,shredder,112,37
2023-06-19 09:58:57,12153.27,dry erase markers,24,
2019-11-28 19:08:57,30637.41,highlighters,10,40
2019-12-27 11:39:43,54609.72,USB flash drive,93,36
2018-12-08 21:19:13,40159.43,desk calendar,103,
2019-11-17 05:13:01,22819.1,office supplies caddy,65,24
2021-12-01 11:53:58,65684.47,post-it notes,66,24
2019-11-30 03:01:18,64686.82,letter tray,110,28
2019-05-04 16:13:13,14244.29,document holder,1,
2021-10-23 01:15:10,71883.56,label maker,3,
2021-01-29 22:19:07,90597.73,storage bins,90,35
2021-11-30 14:37:23,40909.77,computer monitor,95,36
2022-04-08 20:57:59,95994.65,office chair,102,32
