acquisition_date,inventory_number,type,supplier_id,laboratory_id
2023-02-14 04:22:06,17479.31,computer monitor,21,
2022-09-24 19:20:09,51361.23,office chair,92,
2021-10-15 04:59:22,73081.59,whiteboard,38,3
2019-11-21 12:53:40,78825.44,projector,107,
2022-07-06 08:32:33,59313.21,desk,133,
2022-04-10 05:03:37,25645.11,printer,51,
2020-04-25 06:47:14,96243.76,bookshelf,131,9
2023-03-14 23:32:57,59101.0,filing cabinet,150,5
2019-12-15 21:05:53,45974.92,conference table,36,
2018-12-22 01:18:09,82086.05,office phone,89,
2018-09-17 03:48:15,40637.91,laptop stand,35,
2020-03-10 05:28:47,50369.56,desk lamp,130,8
2021-04-28 14:28:20,60414.06,wall clock,77,1
2020-01-21 20:47:30,84711.99,file organizer,130,
2022-04-05 02:12:00,55211.62,cork board,33,
2022-05-06 16:05:55,51391.49,standing desk,92,
2019-07-16 17:40:25,50510.69,office plants,20,20
2023-02-06 04:36:15,61215.32,ergonomic keyboard,3,
2018-10-29 22:59:31,22083.32,mouse pad,11,14
2020-03-04 21:17:37,91698.57,power strip,71,11
2019-02-24 04:05:04,73448.43,headphones,120,
2021-01-25 00:08:49,11344.01,webcam,125,7
2023-01-07 10:40:53,88802.89,external hard drive,150,
2024-02-06 23:18:48,12073.01,wireless router,16,
2020-12-22 18:04:04,47534.81,printer paper,45,16
2020-08-02 23:37:18,69256.53,pens,35,11
2018-11-06 10:26:21,85219.45,notebooks,18,
2022-03-19 21:14:06,46064.16,stapler,107,9
2022-08-16 21:47:35,53147.39,paper clips,71,20
2020-10-01 22:39:42,76778.13,binder clips,134,
2021-03-01 06:28:29,40632.74,scissors,10,4
2018-06-05 16:44:05,62763.28,tape dispenser,33,4
2023-03-28 18:51:20,63330.55,calculator,28,
2018-06-19 13:59:45,30135.1,sticky notes,148,
2019-08-07 07:24:21,71450.32,pencil holder,56,3
2019-07-12 14:56:36,49513.99,desk organizer,31,
2018-12-31 15:37:39,45572.77,trash can,137,2
2021-05-26 08:10:57,69588.74,shredder,102,17
2020-01-24 23:05:08,66990.89,dry erase markers,93,18
2018-05-31 02:19:45,90568.97,highlighters,17,10
2019-06-08 04:02:39,83854.22,USB flash drive,69,4
2020-08-16 12:53:54,73693.7,desk calendar,47,
2022-08-28 08:53:58,86787.14,office supplies caddy,38,4
2023-12-09 08:49:46,96694.45,post-it notes,130,18
2019-03-11 11:48:55,77277.71,letter tray,130,7
2023-07-16 10:26:32,38607.59,document holder,100,
2020-09-29 01:02:54,35226.77,label maker,14,
2018-10-18 05:37:41,90703.18,storage bins,143,
2023-12-03 04:04:31,17433.41,computer monitor,40,
2023-02-25 18:41:52,78499.28,office chair,22,1
